layer,f,zs,L,window,Delta_ratio,status,z_hat,abs_error,D_true_over_Dmax,margin_10m,margin_20m,n_unique_modes,n_unresolved_groups,selected_mode_ids,n_detected_peaks,n_unmatched,global_peak_depth,second_peak_depth,second_peak_ratio,local_FWHM
ACTUAL_PEAK_UNIQUE_MODE,201.0,180.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,16,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,201.0,190.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,14,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,201.0,200.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,15,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,201.0,210.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,13,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,201.0,220.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,19,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,235.0,180.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,12,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,235.0,190.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,17,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,235.0,200.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,14,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,235.0,210.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,9,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,235.0,220.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,18,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,283.0,180.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,15,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,283.0,190.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,14,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,283.0,200.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,15,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,283.0,210.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,15,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,283.0,220.0,2400.0,250.0,0.1,OK,250.0,30.0,0.9553032817108309,0.9850478428411369,0.9701413233633426,1,16,1,19.0,2.0,250.0,248.0,0.9969067633779372,102.0
ACTUAL_PEAK_UNIQUE_MODE,338.0,180.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,11,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,338.0,190.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,18,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,338.0,200.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,13,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,338.0,210.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,17,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,338.0,220.0,2400.0,250.0,0.1,EMPTY_MODES,,,,,,0,16,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,201.0,180.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,7,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,201.0,190.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,6,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,201.0,200.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,9,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,201.0,210.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,7,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,201.0,220.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,8,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,235.0,180.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,10,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,235.0,190.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,8,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,235.0,200.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,11,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,235.0,210.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,10,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,235.0,220.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,6,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,283.0,180.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,9,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,283.0,190.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,7,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,283.0,200.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,9,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,283.0,210.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,7,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,283.0,220.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,9,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,338.0,180.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,9,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,338.0,190.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,9,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,338.0,200.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,5,,,,,,,
ACTUAL_PEAK_UNIQUE_MODE,338.0,210.0,600.0,250.0,0.1,EMPTY_MODES,,,,,,0,10,,,,,,,
