f_hz,z_s_m,mode_id,k_r,adj_delta_k_r,phi_m_zs,phi_m_zr,A_m,A_norm,effective_A0p1,effective_A0p2
235.0,220.0,6,0.9843317459736498,1.0753551922704219e-05,-0.010869949696500989,-0.01151590352583367,0.00012517729203557037,0.28681405972278673,True,True
235.0,220.0,7,0.9843209924217271,1.2236943370380615e-05,-0.011517470422509533,-0.009231745194877662,0.00010632635223014797,0.2436216045477163,True,True
235.0,220.0,8,0.9843087554783567,1.3720390143467931e-05,0.006646893767752569,0.009331753797180889,6.202717615668303e-05,0.14212055491329387,True,False
235.0,220.0,9,0.9842950350882133,1.5203898952043104e-05,0.017180169849450033,0.01567286342252771,0.0002692624556262588,0.616951020214983,True,True
235.0,220.0,10,0.9842798311892612,1.668747650795943e-05,0.001993902430641221,-0.002690870162928867,-5.365332558403807e-06,0.012293386346793327,False,False
235.0,220.0,11,0.9842631437127533,1.817112952429145e-05,-0.017828396093145307,-0.01872714370885239,0.0003338749357346747,0.7649951856326739,True,True
235.0,220.0,12,0.984244972583229,1.965486471566802e-05,-0.011818023907677926,-0.00635142407769848,7.506128159804186e-05,0.1719851144967421,True,False
235.0,220.0,13,0.9842253177185133,2.1138688799160477e-05,0.012569990406958461,0.01688437389983999,0.00021223641794848849,0.486289387339763,True,True
235.0,220.0,14,0.9842041790297141,2.262260849339448e-05,0.019153306742358857,0.014963020199708665,0.00028659131567713173,0.6566559908269576,True,True
235.0,220.0,15,0.9841815564212207,2.410663051910511e-05,-0.002812160252591121,-0.010319468742039678,2.9019999824220477e-05,0.06649244305727649,False,False
235.0,220.0,16,0.9841574497907016,2.5590761599580958e-05,-0.021273267616950597,-0.02051591598412307,0.0004364405711371244,1.0,True,True
235.0,220.0,17,0.984131859029102,2.7075008460775152e-05,-0.008448029975030706,0.0006447029842475529,-5.446470135915076e-06,0.012479293851450534,False,False
235.0,220.0,18,0.9841047840206413,2.85593778305282e-05,0.0172444063014164,0.021315890413259993,0.00036757987496272205,0.8422220555825293,True,True
235.0,220.0,19,0.9840762246428107,,0.017723317729474095,0.00966208206299779,0.00017124415033076235,0.3923653336915818,True,True
283.0,180.0,0,1.1854270856763094,1.5395312127353122e-06,0.00044508104085142934,0.0005237540769531433,2.3311300972048462e-07,0.0005276606574026051,False,False
283.0,180.0,1,1.1854255461450967,2.771161221604146e-06,-0.001552317215414195,-0.0016514066359001366,2.5635069505570234e-06,0.0058026009119310105,False,False
283.0,180.0,2,1.185422774983875,4.002799868008111e-06,-0.003586654228233287,-0.004059042473297842,1.4558381849432203e-05,0.032953481861010485,False,False
283.0,180.0,3,1.185418772184007,5.2344509908763825e-06,0.0022834549616843826,0.0018546379119299637,4.234982142124438e-06,0.00958605212073373,False,False
283.0,180.0,4,1.1854135377330162,6.4661184298042684e-06,0.008439458148023016,0.009027294303960265,7.618547246815922e-05,0.1724488759133567,True,False
283.0,180.0,5,1.1854070716145864,7.697806024387077e-06,0.0007701283235729386,0.002317560752389678,1.7848191770163012e-06,0.004040009870828072,False,False
283.0,180.0,6,1.185399373808562,8.929517614220117e-06,-0.01176271460268643,-0.01151590352583367,0.00013545828656645186,0.30661527053332693,True,True
283.0,180.0,7,1.1853904442909478,1.016125703956483e-05,-0.006760883547094082,-0.009231745194877662,6.241475419901324e-05,0.14127830219241214,True,False
283.0,180.0,8,1.1853802830339082,1.1393028141348793e-05,0.01139394689246636,0.009331753797180889,0.00010632550717865034,0.24067205465633854,True,True
283.0,180.0,9,1.1853688900057668,1.2624834760277537e-05,0.013324984570439284,0.01567286342252771,0.00020884066327978395,0.47271922665637234,True,True
283.0,180.0,10,1.1853562651710066,1.385668073883295e-05,-0.0069422697244711,-0.002690870162928867,1.8680746464583692e-05,0.04228461968764774,False,False
283.0,180.0,11,1.1853424084902677,1.5088569918386696e-05,-0.017989103332443735,-0.01872714370885239,0.00033688452330006926,0.7625516450000912,True,True
283.0,180.0,12,1.1853273199203493,1.6320506142752933e-05,-0.0004786051436627514,-0.00635142407769848,3.039824233169939e-06,0.0068807642061080145,False,False
283.0,180.0,13,1.1853109994142066,1.7552493255079682e-05,0.01907340517110625,0.01688437389983999,0.00032204250445209943,0.7289561394043629,True,True
283.0,180.0,14,1.1852934469209515,1.8784535100291322e-05,0.008924210774221269,0.014963020199708665,0.00013353314608113056,0.30225763774700143,True,True
283.0,180.0,15,1.1852746623858512,2.001663552375632e-05,-0.01601802404139651,-0.010319468742039678,0.00016529749840443137,0.37415752462580754,True,True
283.0,180.0,16,1.1852546457503275,2.1248798371287236e-05,-0.016266933002259763,-0.02051591598412307,0.00033373103079372015,0.7554135880936597,True,True
283.0,180.0,17,1.1852333969519562,2.248102749091707e-05,0.009359584395905864,0.0006447029842475529,6.03415199135734e-06,0.01365854531432899,False,False
283.0,180.0,18,1.1852109159244653,2.371332673023474e-05,0.020725657574464783,0.021315890413259993,0.0004417858456000432,1.0,True,True
283.0,180.0,19,1.185187202597735,,-0.00048542973554528777,0.00966208206299779,-4.690261940657886e-06,0.010616596225004604,False,False
283.0,190.0,0,1.1854270856763094,1.5395312127353122e-06,0.0004835219806023677,0.0005237540769531433,2.532466086369487e-07,0.0005557807724689677,False,False
283.0,190.0,1,1.1854255461450967,2.771161221604146e-06,-0.0016020455717279574,-0.0016514066359001366,2.645628688165977e-06,0.005806156946736771,False,False
283.0,190.0,2,1.185422774983875,4.002799868008111e-06,-0.003820340857352727,-0.004059042473297842,1.550692580246981e-05,0.03403185238097677,False,False
283.0,190.0,3,1.185418772184007,5.2344509908763825e-06,0.0020762293377065365,0.0018546379119299637,3.850653643571783e-06,0.008450732146240977,False,False
283.0,190.0,4,1.1854135377330162,6.4661184298042684e-06,0.008739965840357205,0.009027294303960265,7.889824384746388e-05,0.17315188206469317,True,False
283.0,190.0,5,1.1854070716145864,7.697806024387077e-06,0.0015337362833967583,0.002317560752389678,3.5545270149163397e-06,0.007800845905676566,False,False
283.0,190.0,6,1.185399373808562,8.929517614220117e-06,-0.011668507289966084,-0.01151590352583367,0.0001343734042417363,0.2948989319569546,True,True
283.0,190.0,7,1.1853904442909478,1.016125703956483e-05,-0.008003705751945043,-0.009231745194877662,7.388817211673335e-05,0.16215666459024247,True,False
283.0,190.0,8,1.1853802830339082,1.1393028141348793e-05,0.010414771074428432,0.009331753797180889,9.71880795205672e-05,0.21329117180065352,True,True
283.0,190.0,9,1.1853688900057668,1.2624834760277537e-05,0.014552247447783996,0.01567286342252771,0.000228075386739946,0.5005394358714087,True,True
283.0,190.0,10,1.1853562651710066,1.385668073883295e-05,-0.004867918671652157,-0.002690870162928867,1.3098937109113114e-05,0.0287472255767185,False,False
283.0,190.0,11,1.1853424084902677,1.5088569918386696e-05,-0.018476740439782393,-0.01872714370885239,0.00034601657348696944,0.7593758492353418,True,True
283.0,190.0,12,1.1853273199203493,1.6320506142752933e-05,-0.0034087814264117736,-0.00635142407769848,2.1650616427323107e-05,0.04751493568728225,False,False
283.0,190.0,13,1.1853109994142066,1.7552493255079682e-05,0.01815595037335239,0.01688437389983999,0.0003065518546106212,0.6727656787757192,True,True
283.0,190.0,14,1.1852934469209515,1.8784535100291322e-05,0.012033968935784095,0.014963020199708665,0.000180064520268804,0.39517369534736113,True,True
283.0,190.0,15,1.1852746623858512,2.001663552375632e-05,-0.013361915139742919,-0.010319468742039678,0.00013788786561836377,0.30261184890074894,True,True
283.0,190.0,16,1.1852546457503275,2.1248798371287236e-05,-0.018614803630517738,-0.02051591598412307,0.000381899747344651,0.8381258794631931,True,True
283.0,190.0,17,1.1852333969519562,2.248102749091707e-05,0.005137380086097997,0.0006447029842475529,3.3120842727213287e-06,0.007268775544450892,False,False
283.0,190.0,18,1.1852109159244653,2.371332673023474e-05,0.021376502076003025,0.021315890413259993,0.0004556591756709052,1.0,True,True
283.0,190.0,19,1.185187202597735,,0.004598976967741964,0.00966208206299779,4.44356928681596e-05,0.09751958314618202,False,False
283.0,200.0,0,1.1854270856763094,1.5395312127353122e-06,0.0005237540769531433,0.0005237540769531433,2.7431833312503913e-07,0.0006037371155276083,False,False
283.0,200.0,1,1.1854255461450967,2.771161221604146e-06,-0.0016514066359001366,-0.0016514066359001366,2.727143877095006e-06,0.006002070511399702,False,False
283.0,200.0,2,1.185422774983875,4.002799868008111e-06,-0.004059042473297842,-0.004059042473297842,1.647582580003586e-05,0.036261038156406966,False,False
283.0,200.0,3,1.185418772184007,5.2344509908763825e-06,0.0018546379119299637,0.0018546379119299637,3.439681784367936e-06,0.007570268946919326,False,False
283.0,200.0,4,1.1854135377330162,6.4661184298042684e-06,0.009027294303960265,0.009027294303960265,8.149204245031345e-05,0.1793528346681063,True,False
283.0,200.0,5,1.1854070716145864,7.697806024387077e-06,0.002317560752389678,0.002317560752389678,5.3710878410170105e-06,0.011821029398362989,False,False
283.0,200.0,6,1.185399373808562,8.929517614220117e-06,-0.01151590352583367,-0.01151590352583367,0.00013261603401630833,0.29186974467806365,True,True
283.0,200.0,7,1.1853904442909478,1.016125703956483e-05,-0.009231745194877662,-0.009231745194877662,8.52251193431468e-05,0.18756882610275336,True,False
283.0,200.0,8,1.1853802830339082,1.1393028141348793e-05,0.009331753797180889,0.009331753797180889,8.708162893119994e-05,0.19165474967509313,True,False
283.0,200.0,9,1.1853688900057668,1.2624834760277537e-05,0.01567286342252771,0.01567286342252771,0.00024563864786120696,0.5406170525767547,True,True
283.0,200.0,10,1.1853562651710066,1.385668073883295e-05,-0.002690870162928867,-0.002690870162928867,7.240782233740828e-06,0.015935970921672305,False,False
283.0,200.0,11,1.1853424084902677,1.5088569918386696e-05,-0.01872714370885239,-0.01872714370885239,0.00035070591149200973,0.7718557232051804,True,True
283.0,200.0,12,1.1853273199203493,1.6320506142752933e-05,-0.00635142407769848,-0.00635142407769848,4.034058781476799e-05,0.08878411387428022,False,False
283.0,200.0,13,1.1853109994142066,1.7552493255079682e-05,0.01688437389983999,0.01688437389983999,0.0002850820819895978,0.6274266539471572,True,True
283.0,200.0,14,1.1852934469209515,1.8784535100291322e-05,0.014963020199708665,0.014963020199708665,0.00022389197349688953,0.49275559795408236,True,True
283.0,200.0,15,1.1852746623858512,2.001663552375632e-05,-0.010319468742039678,-0.010319468742039678,0.00010649143511793397,0.23437307719856662,True,True
283.0,200.0,16,1.1852546457503275,2.1248798371287236e-05,-0.02051591598412307,-0.02051591598412307,0.0004209028086675965,0.9263494886672908,True,True
283.0,200.0,17,1.1852333969519562,2.248102749091707e-05,0.0006447029842475529,0.0006447029842475529,4.1564193789770036e-07,0.0009147710319611805,False,False
283.0,200.0,18,1.1852109159244653,2.371332673023474e-05,0.021315890413259993,0.021315890413259993,0.0004543671841101093,1.0,True,True
283.0,200.0,19,1.185187202597735,,0.00966208206299779,0.00966208206299779,9.335582979210363e-05,0.2054634072549575,True,True
283.0,210.0,0,1.1854270856763094,1.5395312127353122e-06,0.0005686516011437978,0.0005237540769531433,2.978335944649968e-07,0.0006869722749377643,False,False
283.0,210.0,1,1.1854255461450967,2.771161221604146e-06,-0.001699312910208838,-0.0016514066359001366,2.8062566163896477e-06,0.006472810749517104,False,False
283.0,210.0,2,1.185422774983875,4.002799868008111e-06,-0.004309063002962379,-0.004059042473297842,1.749066974914064e-05,0.0403433508209042,False,False
283.0,210.0,3,1.185418772184007,5.2344509908763825e-06,0.001597626915909888,0.0018546379119299637,2.9630194473662225e-06,0.006834394266699274,False,False
283.0,210.0,4,1.1854135377330162,6.4661184298042684e-06,0.009276889703437739,0.009027294303960265,8.374521357831113e-05,0.19316370267224064,True,False
283.0,210.0,5,1.1854070716145864,7.697806024387077e-06,0.0031403592942017733,0.002317560752389678,7.27797344864418e-06,0.016787112232697916,False,False
283.0,210.0,6,1.185399373808562,8.929517614220117e-06,-0.011218802196957206,-0.01151590352583367,0.00012919464377557,0.2979957264515645,True,True
283.0,210.0,7,1.1853904442909478,1.016125703956483e-05,-0.010391320760132178,-0.009231745194877662,9.593002549578273e-05,0.2212687523314993,True,True
283.0,210.0,8,1.1853802830339082,1.1393028141348793e-05,0.008024494905689789,0.009331753797180889,7.488261080662939e-05,0.17272154134094905,True,False
283.0,210.0,9,1.1853688900057668,1.2624834760277537e-05,0.016486614339521168,0.01567286342252771,0.00025839245484320214,0.5959987584652743,True,True
283.0,210.0,10,1.1853562651710066,1.385668073883295e-05,-0.00036112713750504743,-0.002690870162928867,9.717462393362423e-07,0.0022413949839949687,False,False
283.0,210.0,11,1.1853424084902677,1.5088569918386696e-05,-0.018382370172049068,-0.01872714370885239,0.00034424928792128456,0.7940330468555787,True,True
283.0,210.0,12,1.1853273199203493,1.6320506142752933e-05,-0.009137558954668883,-0.00635142407769848,5.80365119560733e-05,0.13386493461066604,True,False
283.0,210.0,13,1.1853109994142066,1.7552493255079682e-05,0.014843879587106848,0.01688437389983999,0.00025062961307291447,0.5780932663716241,True,True
283.0,210.0,14,1.1852934469209515,1.8784535100291322e-05,0.01720686058387176,0.014963020199708665,0.000257466602490044,0.5938632206712654,True,True
283.0,210.0,15,1.1852746623858512,2.001663552375632e-05,-0.006631536082263686,-0.010319468742039678,6.843392931262837e-05,0.15784724415415674,True,False
283.0,210.0,16,1.1852546457503275,2.1248798371287236e-05,-0.021132143979323198,-0.02051591598412307,0.0004335452904441869,1.0,True,True
283.0,210.0,17,1.1852333969519562,2.248102749091707e-05,-0.003959439370600952,0.0006447029842475529,-2.5526623781736865e-06,0.005887879385238778,False,False
283.0,210.0,18,1.1852109159244653,2.371332673023474e-05,0.019548936129360237,0.021315890413259993,0.00041670298022926177,0.9611521320006281,True,True
283.0,210.0,19,1.185187202597735,,0.01392274794310016,0.00966208206299779,0.00013452273316866742,0.31028530613455113,True,True
283.0,220.0,0,1.1854270856763094,1.5395312127353122e-06,0.0006153163113168505,0.0005237540769531433,3.2227442666796997e-07,0.0007384153719446838,False,False
283.0,220.0,1,1.1854255461450967,2.771161221604146e-06,-0.0017465253496513273,-0.0016514066359001366,2.884223552182008e-06,0.006608513834237054,False,False
283.0,220.0,2,1.185422774983875,4.002799868008111e-06,-0.004562860256578233,-0.004059042473297842,1.8520843581173735e-05,0.042436118010107514,False,False
283.0,220.0,3,1.185418772184007,5.2344509908763825e-06,0.0013278450821749008,0.0018546379119299637,2.462671830571329e-06,0.005642628099754701,False,False
283.0,220.0,4,1.1854135377330162,6.4661184298042684e-06,0.009511386590893255,0.009027294303960265,8.586208599473472e-05,0.19673259470590757,True,False
283.0,220.0,5,1.1854070716145864,7.697806024387077e-06,0.0039739917553168365,0.002317560752389678,9.209967322442464e-06,0.02110245456430952,False,False
283.0,220.0,6,1.185399373808562,8.929517614220117e-06,-0.010869949696500989,-0.01151590352583367,0.00012517729203557037,0.28681405972278673,True,True
283.0,220.0,7,1.1853904442909478,1.016125703956483e-05,-0.011517470422509533,-0.009231745194877662,0.00010632635223014797,0.2436216045477163,True,True
283.0,220.0,8,1.1853802830339082,1.1393028141348793e-05,0.006646893767752569,0.009331753797180889,6.202717615668303e-05,0.14212055491329387,True,False
283.0,220.0,9,1.1853688900057668,1.2624834760277537e-05,0.017180169849450033,0.01567286342252771,0.0002692624556262588,0.616951020214983,True,True
283.0,220.0,10,1.1853562651710066,1.385668073883295e-05,0.001993902430641221,-0.002690870162928867,-5.365332558403807e-06,0.012293386346793327,False,False
283.0,220.0,11,1.1853424084902677,1.5088569918386696e-05,-0.017828396093145307,-0.01872714370885239,0.0003338749357346747,0.7649951856326739,True,True
283.0,220.0,12,1.1853273199203493,1.6320506142752933e-05,-0.011818023907677926,-0.00635142407769848,7.506128159804186e-05,0.1719851144967421,True,False
283.0,220.0,13,1.1853109994142066,1.7552493255079682e-05,0.012569990406958461,0.01688437389983999,0.00021223641794848849,0.486289387339763,True,True
283.0,220.0,14,1.1852934469209515,1.8784535100291322e-05,0.019153306742358857,0.014963020199708665,0.00028659131567713173,0.6566559908269576,True,True
283.0,220.0,15,1.1852746623858512,2.001663552375632e-05,-0.002812160252591121,-0.010319468742039678,2.9019999824220477e-05,0.06649244305727649,False,False
283.0,220.0,16,1.1852546457503275,2.1248798371287236e-05,-0.021273267616950597,-0.02051591598412307,0.0004364405711371244,1.0,True,True
283.0,220.0,17,1.1852333969519562,2.248102749091707e-05,-0.008448029975030706,0.0006447029842475529,-5.446470135915076e-06,0.012479293851450534,False,False
283.0,220.0,18,1.1852109159244653,2.371332673023474e-05,0.0172444063014164,0.021315890413259993,0.00036757987496272205,0.8422220555825293,True,True
283.0,220.0,19,1.185187202597735,,0.017723317729474095,0.00966208206299779,0.00017124415033076235,0.3923653336915818,True,True
338.0,180.0,0,1.415810565236174,1.289015415961714e-06,0.00044508104085142934,0.0005237540769531433,2.3311300972048462e-07,0.0005276606574026051,False,False
338.0,180.0,1,1.4158092762207581,2.3202307060099514e-06,-0.001552317215414195,-0.0016514066359001366,2.5635069505570234e-06,0.0058026009119310105,False,False
338.0,180.0,2,1.4158069559900521,3.351451066002653e-06,-0.003586654228233287,-0.004059042473297842,1.4558381849432203e-05,0.032953481861010485,False,False
338.0,180.0,3,1.4158036045389861,4.382678749470514e-06,0.0022834549616843826,0.0018546379119299637,4.234982142124438e-06,0.00958605212073373,False,False
338.0,180.0,4,1.4157992218602367,5.413916009278097e-06,0.008439458148023016,0.009027294303960265,7.618547246815922e-05,0.1724488759133567,True,False
338.0,180.0,5,1.4157938079442274,6.44516509962223e-06,0.0007701283235729386,0.002317560752389678,1.7848191770163012e-06,0.004040009870828072,False,False
338.0,180.0,6,1.4157873627791278,7.476428273589519e-06,-0.01176271460268643,-0.01151590352583367,0.00013545828656645186,0.30661527053332693,True,True
338.0,180.0,7,1.4157798863508542,8.50770778559884e-06,-0.006760883547094082,-0.009231745194877662,6.241475419901324e-05,0.14127830219241214,True,False
338.0,180.0,8,1.4157713786430686,9.539005889180885e-06,0.01139394689246636,0.009331753797180889,0.00010632550717865034,0.24067205465633854,True,True
338.0,180.0,9,1.4157618396371794,1.0570324838532486e-05,0.013324984570439284,0.01567286342252771,0.00020884066327978395,0.47271922665637234,True,True
338.0,180.0,10,1.4157512693123409,1.1601666888516604e-05,-0.0069422697244711,-0.002690870162928867,1.8680746464583692e-05,0.04228461968764774,False,False
338.0,180.0,11,1.4157396676454523,1.2633034293774159e-05,-0.017989103332443735,-0.01872714370885239,0.00033688452330006926,0.7625516450000912,True,True
338.0,180.0,12,1.4157270346111586,1.366442930850198e-05,-0.0004786051436627514,-0.00635142407769848,3.039824233169939e-06,0.0068807642061080145,False,False
338.0,180.0,13,1.41571337018185,1.4695854188895296e-05,0.01907340517110625,0.01688437389983999,0.00032204250445209943,0.7289561394043629,True,True
338.0,180.0,14,1.4156986743276612,1.5727311190261162e-05,0.008924210774221269,0.014963020199708665,0.00013353314608113056,0.30225763774700143,True,True
338.0,180.0,15,1.415682947016471,1.6758802568128672e-05,-0.01601802404139651,-0.010319468742039678,0.00016529749840443137,0.37415752462580754,True,True
338.0,180.0,16,1.4156661882139028,1.7790330579359193e-05,-0.016266933002259763,-0.02051591598412307,0.00033373103079372015,0.7554135880936597,True,True
338.0,180.0,17,1.4156483978833234,1.8821897480814087e-05,0.009359584395905864,0.0006447029842475529,6.03415199135734e-06,0.01365854531432899,False,False
338.0,180.0,18,1.4156295759858426,1.9853505528688586e-05,0.020725657574464783,0.021315890413259993,0.0004417858456000432,1.0,True,True
338.0,180.0,19,1.415609722480314,,-0.00048542973554528777,0.00966208206299779,-4.690261940657886e-06,0.010616596225004604,False,False
338.0,190.0,0,1.415810565236174,1.289015415961714e-06,0.0004835219806023677,0.0005237540769531433,2.532466086369487e-07,0.0005557807724689677,False,False
338.0,190.0,1,1.4158092762207581,2.3202307060099514e-06,-0.0016020455717279574,-0.0016514066359001366,2.645628688165977e-06,0.005806156946736771,False,False
338.0,190.0,2,1.4158069559900521,3.351451066002653e-06,-0.003820340857352727,-0.004059042473297842,1.550692580246981e-05,0.03403185238097677,False,False
338.0,190.0,3,1.4158036045389861,4.382678749470514e-06,0.0020762293377065365,0.0018546379119299637,3.850653643571783e-06,0.008450732146240977,False,False
338.0,190.0,4,1.4157992218602367,5.413916009278097e-06,0.008739965840357205,0.009027294303960265,7.889824384746388e-05,0.17315188206469317,True,False
338.0,190.0,5,1.4157938079442274,6.44516509962223e-06,0.0015337362833967583,0.002317560752389678,3.5545270149163397e-06,0.007800845905676566,False,False
338.0,190.0,6,1.4157873627791278,7.476428273589519e-06,-0.011668507289966084,-0.01151590352583367,0.0001343734042417363,0.2948989319569546,True,True
338.0,190.0,7,1.4157798863508542,8.50770778559884e-06,-0.008003705751945043,-0.009231745194877662,7.388817211673335e-05,0.16215666459024247,True,False
338.0,190.0,8,1.4157713786430686,9.539005889180885e-06,0.010414771074428432,0.009331753797180889,9.71880795205672e-05,0.21329117180065352,True,True
338.0,190.0,9,1.4157618396371794,1.0570324838532486e-05,0.014552247447783996,0.01567286342252771,0.000228075386739946,0.5005394358714087,True,True
338.0,190.0,10,1.4157512693123409,1.1601666888516604e-05,-0.004867918671652157,-0.002690870162928867,1.3098937109113114e-05,0.0287472255767185,False,False
338.0,190.0,11,1.4157396676454523,1.2633034293774159e-05,-0.018476740439782393,-0.01872714370885239,0.00034601657348696944,0.7593758492353418,True,True
338.0,190.0,12,1.4157270346111586,1.366442930850198e-05,-0.0034087814264117736,-0.00635142407769848,2.1650616427323107e-05,0.04751493568728225,False,False
338.0,190.0,13,1.41571337018185,1.4695854188895296e-05,0.01815595037335239,0.01688437389983999,0.0003065518546106212,0.6727656787757192,True,True
338.0,190.0,14,1.4156986743276612,1.5727311190261162e-05,0.012033968935784095,0.014963020199708665,0.000180064520268804,0.39517369534736113,True,True
338.0,190.0,15,1.415682947016471,1.6758802568128672e-05,-0.013361915139742919,-0.010319468742039678,0.00013788786561836377,0.30261184890074894,True,True
338.0,190.0,16,1.4156661882139028,1.7790330579359193e-05,-0.018614803630517738,-0.02051591598412307,0.000381899747344651,0.8381258794631931,True,True
338.0,190.0,17,1.4156483978833234,1.8821897480814087e-05,0.005137380086097997,0.0006447029842475529,3.3120842727213287e-06,0.007268775544450892,False,False
338.0,190.0,18,1.4156295759858426,1.9853505528688586e-05,0.021376502076003025,0.021315890413259993,0.0004556591756709052,1.0,True,True
338.0,190.0,19,1.415609722480314,,0.004598976967741964,0.00966208206299779,4.44356928681596e-05,0.09751958314618202,False,False
338.0,200.0,0,1.415810565236174,1.289015415961714e-06,0.0005237540769531433,0.0005237540769531433,2.7431833312503913e-07,0.0006037371155276083,False,False
338.0,200.0,1,1.4158092762207581,2.3202307060099514e-06,-0.0016514066359001366,-0.0016514066359001366,2.727143877095006e-06,0.006002070511399702,False,False
338.0,200.0,2,1.4158069559900521,3.351451066002653e-06,-0.004059042473297842,-0.004059042473297842,1.647582580003586e-05,0.036261038156406966,False,False
338.0,200.0,3,1.4158036045389861,4.382678749470514e-06,0.0018546379119299637,0.0018546379119299637,3.439681784367936e-06,0.007570268946919326,False,False
338.0,200.0,4,1.4157992218602367,5.413916009278097e-06,0.009027294303960265,0.009027294303960265,8.149204245031345e-05,0.1793528346681063,True,False
338.0,200.0,5,1.4157938079442274,6.44516509962223e-06,0.002317560752389678,0.002317560752389678,5.3710878410170105e-06,0.011821029398362989,False,False
338.0,200.0,6,1.4157873627791278,7.476428273589519e-06,-0.01151590352583367,-0.01151590352583367,0.00013261603401630833,0.29186974467806365,True,True
338.0,200.0,7,1.4157798863508542,8.50770778559884e-06,-0.009231745194877662,-0.009231745194877662,8.52251193431468e-05,0.18756882610275336,True,False
338.0,200.0,8,1.4157713786430686,9.539005889180885e-06,0.009331753797180889,0.009331753797180889,8.708162893119994e-05,0.19165474967509313,True,False
338.0,200.0,9,1.4157618396371794,1.0570324838532486e-05,0.01567286342252771,0.01567286342252771,0.00024563864786120696,0.5406170525767547,True,True
338.0,200.0,10,1.4157512693123409,1.1601666888516604e-05,-0.002690870162928867,-0.002690870162928867,7.240782233740828e-06,0.015935970921672305,False,False
338.0,200.0,11,1.4157396676454523,1.2633034293774159e-05,-0.01872714370885239,-0.01872714370885239,0.00035070591149200973,0.7718557232051804,True,True
338.0,200.0,12,1.4157270346111586,1.366442930850198e-05,-0.00635142407769848,-0.00635142407769848,4.034058781476799e-05,0.08878411387428022,False,False
338.0,200.0,13,1.41571337018185,1.4695854188895296e-05,0.01688437389983999,0.01688437389983999,0.0002850820819895978,0.6274266539471572,True,True
338.0,200.0,14,1.4156986743276612,1.5727311190261162e-05,0.014963020199708665,0.014963020199708665,0.00022389197349688953,0.49275559795408236,True,True
338.0,200.0,15,1.415682947016471,1.6758802568128672e-05,-0.010319468742039678,-0.010319468742039678,0.00010649143511793397,0.23437307719856662,True,True
338.0,200.0,16,1.4156661882139028,1.7790330579359193e-05,-0.02051591598412307,-0.02051591598412307,0.0004209028086675965,0.9263494886672908,True,True
338.0,200.0,17,1.4156483978833234,1.8821897480814087e-05,0.0006447029842475529,0.0006447029842475529,4.1564193789770036e-07,0.0009147710319611805,False,False
338.0,200.0,18,1.4156295759858426,1.9853505528688586e-05,0.021315890413259993,0.021315890413259993,0.0004543671841101093,1.0,True,True
338.0,200.0,19,1.415609722480314,,0.00966208206299779,0.00966208206299779,9.335582979210363e-05,0.2054634072549575,True,True
338.0,210.0,0,1.415810565236174,1.289015415961714e-06,0.0005686516011437978,0.0005237540769531433,2.978335944649968e-07,0.0006869722749377643,False,False
338.0,210.0,1,1.4158092762207581,2.3202307060099514e-06,-0.001699312910208838,-0.0016514066359001366,2.8062566163896477e-06,0.006472810749517104,False,False
338.0,210.0,2,1.4158069559900521,3.351451066002653e-06,-0.004309063002962379,-0.004059042473297842,1.749066974914064e-05,0.0403433508209042,False,False
338.0,210.0,3,1.4158036045389861,4.382678749470514e-06,0.001597626915909888,0.0018546379119299637,2.9630194473662225e-06,0.006834394266699274,False,False
338.0,210.0,4,1.4157992218602367,5.413916009278097e-06,0.009276889703437739,0.009027294303960265,8.374521357831113e-05,0.19316370267224064,True,False
338.0,210.0,5,1.4157938079442274,6.44516509962223e-06,0.0031403592942017733,0.002317560752389678,7.27797344864418e-06,0.016787112232697916,False,False
338.0,210.0,6,1.4157873627791278,7.476428273589519e-06,-0.011218802196957206,-0.01151590352583367,0.00012919464377557,0.2979957264515645,True,True
338.0,210.0,7,1.4157798863508542,8.50770778559884e-06,-0.010391320760132178,-0.009231745194877662,9.593002549578273e-05,0.2212687523314993,True,True
338.0,210.0,8,1.4157713786430686,9.539005889180885e-06,0.008024494905689789,0.009331753797180889,7.488261080662939e-05,0.17272154134094905,True,False
338.0,210.0,9,1.4157618396371794,1.0570324838532486e-05,0.016486614339521168,0.01567286342252771,0.00025839245484320214,0.5959987584652743,True,True
338.0,210.0,10,1.4157512693123409,1.1601666888516604e-05,-0.00036112713750504743,-0.002690870162928867,9.717462393362423e-07,0.0022413949839949687,False,False
338.0,210.0,11,1.4157396676454523,1.2633034293774159e-05,-0.018382370172049068,-0.01872714370885239,0.00034424928792128456,0.7940330468555787,True,True
338.0,210.0,12,1.4157270346111586,1.366442930850198e-05,-0.009137558954668883,-0.00635142407769848,5.80365119560733e-05,0.13386493461066604,True,False
338.0,210.0,13,1.41571337018185,1.4695854188895296e-05,0.014843879587106848,0.01688437389983999,0.00025062961307291447,0.5780932663716241,True,True
338.0,210.0,14,1.4156986743276612,1.5727311190261162e-05,0.01720686058387176,0.014963020199708665,0.000257466602490044,0.5938632206712654,True,True
338.0,210.0,15,1.415682947016471,1.6758802568128672e-05,-0.006631536082263686,-0.010319468742039678,6.843392931262837e-05,0.15784724415415674,True,False
338.0,210.0,16,1.4156661882139028,1.7790330579359193e-05,-0.021132143979323198,-0.02051591598412307,0.0004335452904441869,1.0,True,True
