mode_index,true_k_r,A_signed,A_norm,recovered,peak_k,delta_k,merged_with_modes,status,f_hz,L_m,dr_name
60.0,0.8122710413498869,0.0006681097165791072,0.0006681097165791072,False,,,0,MISSED,201.0,600.0,lam/4
61.0,0.8120103747434977,0.0006424879134851663,0.0006424879134851663,False,,,0,MISSED,201.0,600.0,lam/4
62.0,0.8117488761188714,0.0005621365543988776,0.0005621365543988776,False,,,0,MISSED,201.0,600.0,lam/4
63.0,0.8088180468905181,0.0005332598932844612,0.0005332598932844612,False,,,0,MISSED,201.0,600.0,lam/4
64.0,0.8085467164772647,0.0006137583019630865,0.0006137583019630865,False,,,0,MISSED,201.0,600.0,lam/4
65.0,0.8082745785722624,0.0006453392717076373,0.0006453392717076373,False,,,0,MISSED,201.0,600.0,lam/4
66.0,0.8080016348685105,0.0006231903414048248,0.0006231903414048248,False,,,0,MISSED,201.0,600.0,lam/4
67.0,0.8077278870337798,0.0005514497642070421,0.0005514497642070421,False,,,0,MISSED,201.0,600.0,lam/4
68.0,0.8043807652561504,0.00056018831643052,0.00056018831643052,False,,,0,MISSED,201.0,600.0,lam/4
69.0,0.8040967047565797,0.0006148499599497134,0.0006148499599497134,False,,,0,MISSED,201.0,600.0,lam/4
70.0,0.8038118610518972,0.0006222583106617256,0.0006222583106617256,False,,,0,MISSED,201.0,600.0,lam/4
71.0,0.8035262354782975,0.0005816415038899325,0.0005816415038899325,False,,,0,MISSED,201.0,600.0,lam/4
72.0,0.8032398293525893,0.0004996445770792294,0.0004996445770792294,False,,,0,MISSED,201.0,600.0,lam/4
73.0,0.7997425268797517,0.0005414591494907984,0.0005414591494907984,False,,,0,MISSED,201.0,600.0,lam/4
74.0,0.7994460850972435,0.0005948231276151867,0.0005948231276151867,False,,,0,MISSED,201.0,600.0,lam/4
75.0,0.7991488793169305,0.0006054009322299918,0.0006054009322299918,False,,,0,MISSED,201.0,600.0,lam/4
76.0,0.7988509105969397,0.0005719593562017767,0.0005719593562017767,False,,,0,MISSED,201.0,600.0,lam/4
77.0,0.7985521799800406,0.0004996634619861874,0.0004996634619861874,False,,,0,MISSED,201.0,600.0,lam/4
78.0,0.7945997970875043,0.0005548879103104409,0.0005548879103104409,False,,,0,MISSED,201.0,600.0,lam/4
79.0,0.7942905012744016,0.0005881595426149431,0.0005881595426149431,False,,,0,MISSED,201.0,600.0,lam/4
80.0,0.7939804574949392,0.0005809814091397505,0.0005809814091397505,False,,,0,MISSED,201.0,600.0,lam/4
81.0,0.7936696665717847,0.0005346028096471121,0.0005346028096471121,False,,,0,MISSED,201.0,600.0,lam/4
82.0,0.7892405757711849,0.0005389396114205445,0.0005389396114205445,False,,,0,MISSED,201.0,600.0,lam/4
83.0,0.7889186683582725,0.0005721479534262412,0.0005721479534262412,False,,,0,MISSED,201.0,600.0,lam/4
84.0,0.7885960253806115,0.0005681598054476333,0.0005681598054476333,False,,,0,MISSED,201.0,600.0,lam/4
85.0,0.7882726474694591,0.0005277165850516858,0.0005277165850516858,False,,,0,MISSED,201.0,600.0,lam/4
86.0,0.7836685186445156,0.0004978883843732738,0.0004978883843732738,False,,,0,MISSED,201.0,600.0,lam/4
87.0,0.783334185812569,0.0005459377088400646,0.0005459377088400646,False,,,0,MISSED,201.0,600.0,lam/4
88.0,0.782999126833305,0.0005609611491679239,0.0005609611491679239,False,,,0,MISSED,201.0,600.0,lam/4
89.0,0.7826633421785566,0.0005412850498631608,0.0005412850498631608,False,,,0,MISSED,201.0,600.0,lam/4
90.0,0.7771924485190408,0.0005342134511535781,0.0005342134511535781,False,,,0,MISSED,201.0,600.0,lam/4
91.0,0.776844391559496,0.0005479217701357009,0.0005479217701357009,False,,,0,MISSED,201.0,600.0,lam/4
92.0,0.7764956160240851,0.00052937222291361,0.00052937222291361,False,,,0,MISSED,201.0,600.0,lam/4
93.0,0.7708177216836912,0.0005082098166308987,0.0005082098166308987,False,,,0,MISSED,201.0,600.0,lam/4
94.0,0.7704567737820828,0.0005339029175112093,0.0005339029175112093,False,,,0,MISSED,201.0,600.0,lam/4
95.0,0.7700951120242302,0.0005296534553776528,0.0005296534553776528,False,,,0,MISSED,201.0,600.0,lam/4
96.0,0.7697327366090841,0.0004960820862529014,0.0004960820862529014,False,,,0,MISSED,201.0,600.0,lam/4
97.0,0.7638378108342331,0.0005032077436706711,0.0005032077436706711,False,,,0,MISSED,201.0,600.0,lam/4
98.0,0.7634633277027506,0.0005237073988795002,0.0005237073988795002,False,,,0,MISSED,201.0,600.0,lam/4
99.0,0.7630881334507785,0.0005160935675798524,0.0005160935675798524,False,,,0,MISSED,201.0,600.0,lam/4
100.0,0.7562131058837839,0.0005099827401931248,0.0005099827401931248,False,,,0,MISSED,201.0,600.0,lam/4
101.0,0.7558244103063075,0.0005107634050540972,0.0005107634050540972,False,,,0,MISSED,201.0,600.0,lam/4
102.0,0.7483041611478509,0.0005027278429140723,0.0005027278429140723,False,,,0,MISSED,201.0,600.0,lam/4
103.0,0.747901246943668,0.0004965439358401794,0.0004965439358401794,False,,,0,MISSED,201.0,600.0,lam/4
104.0,0.740110476307754,0.0004920026667750298,0.0004920026667750298,False,,,0,MISSED,201.0,600.0,lam/4
0.0,0.8366563132639958,0.0006317230537136992,0.0006317230537136992,True,0.8380186188860362,0.0013623056220404273,0,RESOLVED,201.0,1200.0,lam/4
1.0,0.8365332687295839,0.0011562464513905893,0.0011562464513905893,False,,,0,MISSED,201.0,1200.0,lam/4
2.0,0.8364104206148701,0.0018137187081807607,0.0018137187081807607,False,,,0,MISSED,201.0,1200.0,lam/4
3.0,0.8362877678495675,0.002368995900733445,0.002368995900733445,False,,,0,MISSED,201.0,1200.0,lam/4
4.0,0.8361653086417628,0.0024539683412567515,0.0024539683412567515,False,,,0,MISSED,201.0,1200.0,lam/4
5.0,0.8360430387428817,0.0018302305576292448,0.0018302305576292448,False,,,0,MISSED,201.0,1200.0,lam/4
6.0,0.8359209464019431,0.0007594356013170424,0.0007594356013170424,False,,,0,MISSED,201.0,1200.0,lam/4
7.0,0.8355551322105673,0.0011717519375436909,0.0011717519375436909,False,,,0,MISSED,201.0,1200.0,lam/4
8.0,0.8354327251213997,0.0014961425026822626,0.0014961425026822626,False,,,0,MISSED,201.0,1200.0,lam/4
9.0,0.8353094268352108,0.0008155334414009876,0.0008155334414009876,False,,,0,MISSED,201.0,1200.0,lam/4
10.0,0.8349288902019406,0.0009484541600739815,0.0009484541600739815,False,,,0,MISSED,201.0,1200.0,lam/4
11.0,0.8347973079094249,0.0013035024873705274,0.0013035024873705274,False,,,0,MISSED,201.0,1200.0,lam/4
12.0,0.8346631743569254,0.0009108079247060944,0.0009108079247060944,False,,,0,MISSED,201.0,1200.0,lam/4
13.0,0.8341027084127943,0.0008562345553687678,0.0008562345553687678,False,,,0,MISSED,201.0,1200.0,lam/4
14.0,0.8339571222464239,0.0011689564368750573,0.0011689564368750573,False,,,0,MISSED,201.0,1200.0,lam/4
15.0,0.8338095342447263,0.0010325838250362048,0.0010325838250362048,False,,,0,MISSED,201.0,1200.0,lam/4
16.0,0.8336600205125265,0.0005819735964497364,0.0005819735964497364,False,,,0,MISSED,201.0,1200.0,lam/4
