branch_set,sigma_theta_deg,theta_rel_deg,case,n_obs,n_branches,rank,sv,sv_min,cond_J,crb_r_m,crb_z_m,corr_rz,cond_F
"[""R0"", ""R1""]",0.05,0.0,HLA_u+delay,3,2,2,"[0.048236036838330054, 2.3474836755518595e-06]",2.3474836755518595e-06,20547.975409026203,3553.8839402329977,40.86905939735556,-0.9999999925693552,508950877406.87964
"[""R0"", ""R1""]",0.05,0.0,delay-only,3,2,2,"[0.048236036838330054, 2.3474836755518595e-06]",2.3474836755518595e-06,20547.975409026203,102.23037022792411,1.175893831154125,-0.999991046920806,422219292.729319
"[""R0"", ""R1""]",0.05,30.0,IDEAL_ELEVATION+delay,3,2,2,"[0.051011553455155595, 5.462660757879962e-05]",5.462660757879962e-05,933.8224670380774,90.64434099232672,1.0424848140946068,-0.9999885825508489,331177018.6688218
"[""R0"", ""R1""]",0.05,30.0,HLA_u+delay,3,2,2,"[0.04822064322139218, 2.0336293624657554e-06]",2.0336293624657554e-06,23711.61830734246,4108.975237822212,47.252512482580364,-0.99999999444139,680354334537.768
"[""R0"", ""R1""]",0.05,30.0,delay-only,3,2,2,"[0.04822064322139218, 2.0336293624657554e-06]",2.0336293624657554e-06,23711.61830734246,118.007799936277,1.3572964973389263,-0.9999932758724774,562240842.4521686
"[""R0"", ""R1""]",0.05,60.0,IDEAL_ELEVATION+delay,3,2,2,"[0.051011553455155595, 5.462660757879962e-05]",5.462660757879962e-05,933.8224670380774,90.64434099232672,1.0424848140946068,-0.9999885825508489,331177018.6688218
"[""R0"", ""R1""]",0.05,60.0,HLA_u+delay,3,2,2,"[0.04818984123570224, 1.1748667816597775e-06]",1.1748667816597775e-06,41017.281267943144,7135.2902662836805,82.05461015051421,-0.9999999981566386,2051602789151.0308
"[""R0"", ""R1""]",0.05,60.0,delay-only,3,2,2,"[0.04818984123570224, 1.1748667816597775e-06]",1.1748667816597775e-06,41017.281267943144,204.2649720766131,2.3491431661373334,-0.9999977523926145,1682417366.4237406
"[""R0"", ""R1""]",0.1,0.0,IDEAL_ELEVATION+delay,3,2,2,"[0.051011553455155595, 5.462660757879962e-05]",5.462660757879962e-05,933.8224670380774,90.64434099232672,1.0424848140946068,-0.9999885825508489,331177018.6688218
"[""R0"", ""R1""]",0.1,0.0,HLA_u+delay,3,2,2,"[0.048236036838330054, 2.3474836755518595e-06]",2.3474836755518595e-06,20547.975409026203,3553.8839402329977,40.86905939735556,-0.9999999925693552,508950877406.87964
"[""R0"", ""R1""]",0.1,0.0,delay-only,3,2,2,"[0.048236036838330054, 2.3474836755518595e-06]",2.3474836755518595e-06,20547.975409026203,102.23037022792411,1.175893831154125,-0.999991046920806,422219292.729319
"[""R0"", ""R1""]",0.1,30.0,IDEAL_ELEVATION+delay,3,2,2,"[0.051011553455155595, 5.462660757879962e-05]",5.462660757879962e-05,933.8224670380774,90.64434099232672,1.0424848140946068,-0.9999885825508489,331177018.6688218
"[""R0"", ""R1""]",0.1,30.0,HLA_u+delay,3,2,2,"[0.04822064322139218, 2.0336293624657554e-06]",2.0336293624657554e-06,23711.61830734246,4124.848037830009,47.43504691765488,-0.9999999944840876,685622752394.1241
"[""R0"", ""R1""]",0.1,30.0,delay-only,3,2,2,"[0.04822064322139218, 2.0336293624657554e-06]",2.0336293624657554e-06,23711.61830734246,118.007799936277,1.3572964973389263,-0.9999932758724774,562240842.4521686
"[""R0"", ""R1""]",0.1,60.0,IDEAL_ELEVATION+delay,3,2,2,"[0.051011553455155595, 5.462660757879962e-05]",5.462660757879962e-05,933.8224670380774,90.64434099232672,1.0424848140946068,-0.9999885825508489,331177018.6688218
"[""R0"", ""R1""]",0.1,60.0,HLA_u+delay,3,2,2,"[0.04818984123570224, 1.1748667816597775e-06]",1.1748667816597775e-06,41017.281267943144,7217.244194454415,82.99706613520898,-0.9999999981982646,2098996697314.618
"[""R0"", ""R1""]",0.1,60.0,delay-only,3,2,2,"[0.04818984123570224, 1.1748667816597775e-06]",1.1748667816597775e-06,41017.281267943144,204.2649720766131,2.3491431661373334,-0.9999977523926145,1682417366.4237406
"[""R0"", ""R1""]",0.2,0.0,IDEAL_ELEVATION+delay,3,2,2,"[0.051011553455155595, 5.462660757879962e-05]",5.462660757879962e-05,933.8224670380774,90.64434099232672,1.0424848140946068,-0.9999885825508489,331177018.6688218
"[""R0"", ""R1""]",0.2,0.0,HLA_u+delay,3,2,2,"[0.048236036838330054, 2.3474836755518595e-06]",2.3474836755518595e-06,20547.975409026203,3553.8839402329977,40.86905939735556,-0.9999999925693552,508950877406.87964
"[""R0"", ""R1""]",0.2,0.0,delay-only,3,2,2,"[0.048236036838330054, 2.3474836755518595e-06]",2.3474836755518595e-06,20547.975409026203,102.23037022792411,1.175893831154125,-0.999991046920806,422219292.729319
"[""R0"", ""R1""]",0.2,30.0,IDEAL_ELEVATION+delay,3,2,2,"[0.051011553455155595, 5.462660757879962e-05]",5.462660757879962e-05,933.8224670380774,90.64434099232672,1.0424848140946068,-0.9999885825508489,331177018.6688218
"[""R0"", ""R1""]",0.2,30.0,HLA_u+delay,3,2,2,"[0.04822064322139218, 2.0336293624657554e-06]",2.0336293624657554e-06,23711.61830734246,4187.7378290427805,48.15826856317704,-0.999999994648515,706691192282.1495
"[""R0"", ""R1""]",0.2,30.0,delay-only,3,2,2,"[0.04822064322139218, 2.0336293624657554e-06]",2.0336293624657554e-06,23711.61830734246,118.007799936277,1.3572964973389263,-0.9999932758724774,562240842.4521686
"[""R0"", ""R1""]",0.2,60.0,IDEAL_ELEVATION+delay,3,2,2,"[0.051011553455155595, 5.462660757879962e-05]",5.462660757879962e-05,933.8224670380774,90.64434099232672,1.0424848140946068,-0.9999885825508489,331177018.6688218
"[""R0"", ""R1""]",0.2,60.0,HLA_u+delay,3,2,2,"[0.04818984123570224, 1.1748667816597775e-06]",1.1748667816597775e-06,41017.281267943144,7536.15286202759,86.66446060619703,-0.9999999983475268,2288584822653.84
"[""R0"", ""R1""]",0.2,60.0,delay-only,3,2,2,"[0.04818984123570224, 1.1748667816597775e-06]",1.1748667816597775e-06,41017.281267943144,204.2649720766131,2.3491431661373334,-0.9999977523926145,1682417366.4237406
