span,zs,mode_id,k,contrib_r0_abs,rel_contrib,observable,in_1p30_1p36
sufficient_4990m,50.0,8,1.44283926486969,0.0002661162050751762,0.3762096048523978,True,False
sufficient_4990m,50.0,9,1.4351578950881958,3.787249534395158e-05,0.05354050687780298,True,False
sufficient_4990m,50.0,10,1.4275851249694824,0.00020478937981741982,0.28951161255781,True,False
sufficient_4990m,50.0,11,1.4195870161056519,8.025556249652436e-05,0.11345762820229242,True,False
sufficient_4990m,50.0,12,1.4104909896850586,8.413583274272191e-06,0.011894318266384847,False,False
sufficient_4990m,50.0,13,1.4000681638717651,0.00015143783026871734,0.2140883012705081,True,False
sufficient_4990m,50.0,14,1.3885791301727295,9.14347496898086e-05,0.12926169242817584,True,False
sufficient_4990m,50.0,15,1.375969648361206,9.597167049781308e-05,0.13567555656675326,True,False
sufficient_4990m,50.0,16,1.3623950481414795,4.7674496945195814e-05,0.06739763800638246,True,False
sufficient_4990m,50.0,17,1.3477357625961304,1.651913666096581e-06,0.0023353173377656964,False,True
sufficient_4990m,50.0,18,1.3320367336273193,1.3071086791671635e-05,0.018478650691328726,False,True
sufficient_4990m,50.0,19,1.315035343170166,9.068938360640643e-07,0.001282079652429866,False,True
sufficient_4990m,50.0,20,1.2967256307601929,2.8231088484958603e-07,0.00039910409215699737,False,False
sufficient_4990m,50.0,21,1.277047872543335,2.053665793721152e-08,2.9032760200998026e-05,False,False
sufficient_4990m,50.0,22,1.2560290098190308,8.164571178513131e-10,1.1542288813227271e-06,False,False
sufficient_4990m,50.0,23,1.2335797548294067,1.4120671775862379e-09,1.9962453423484266e-06,False,False
insufficient_1990m,4.0,1,1.486930251121521,6.832947647621982e-09,3.0360829060822622e-05,False,False
insufficient_1990m,4.0,2,1.4840487241744995,1.800663605479854e-08,8.000886695077291e-05,False,False
insufficient_1990m,4.0,3,1.479351282119751,8.807585382171285e-09,3.913473481971805e-05,False,False
insufficient_1990m,4.0,4,1.4730875492095947,2.100451013103039e-07,0.0009332931766519088,False,False
insufficient_1990m,4.0,5,1.465836763381958,8.451174620789301e-07,0.0037551095260365945,False,False
insufficient_1990m,4.0,6,1.4583847522735596,1.0163379473248772e-06,0.004515893327164129,False,False
insufficient_1990m,4.0,7,1.4506748914718628,6.354774597017808e-06,0.028236163250462156,False,False
insufficient_1990m,4.0,8,1.44283926486969,4.178293294735825e-05,0.18565406180391944,True,False
insufficient_1990m,4.0,9,1.4351578950881958,0.0001187647560593141,0.5277073150739023,True,False
insufficient_1990m,4.0,10,1.4275851249694824,0.00018213089425208495,0.8092620099331146,True,False
insufficient_1990m,4.0,11,1.4195870161056519,0.0001136817010928971,0.5051217823139872,True,False
insufficient_1990m,4.0,12,1.4104909896850586,4.848503350293138e-05,0.21543349811893586,True,False
insufficient_1990m,4.0,13,1.4000681638717651,0.00018513021414812158,0.8225888848571431,True,False
insufficient_1990m,4.0,14,1.3885791301727295,0.00022505800595673338,1.0,True,False
insufficient_1990m,4.0,15,1.375969648361206,0.00016354904488647938,0.7266972982863854,True,False
insufficient_1990m,4.0,16,1.3623950481414795,5.975256230677675e-05,0.26549849694422323,True,False
insufficient_1990m,4.0,17,1.3477357625961304,9.21073040616679e-06,0.04092602867874658,True,True
insufficient_1990m,4.0,18,1.3320367336273193,1.246361755231687e-05,0.055379578697204654,True,True
insufficient_1990m,4.0,19,1.315035343170166,2.249300741473712e-06,0.009994315607266742,False,True
insufficient_1990m,4.0,20,1.2967256307601929,2.393485562808242e-07,0.0010634971871511122,False,False
insufficient_1990m,4.0,21,1.277047872543335,1.4468264756956482e-08,6.428682550283483e-05,False,False
insufficient_1990m,4.0,22,1.2560290098190308,7.683608165580457e-10,3.414056804119025e-06,False,False
insufficient_1990m,4.0,23,1.2335797548294067,3.2138830658573254e-10,1.4280243229717334e-06,False,False
insufficient_1990m,50.0,1,1.486930251121521,0.0007073615390005376,1.0,True,False
insufficient_1990m,50.0,2,1.4840487241744995,0.0006671911397360192,0.9432109366289877,True,False
insufficient_1990m,50.0,3,1.479351282119751,1.87531184994373e-05,0.02651136295300196,False,False
insufficient_1990m,50.0,4,1.4730875492095947,0.0004852374392894166,0.6859822205982956,True,False
insufficient_1990m,50.0,5,1.465836763381958,0.00036898850514765667,0.5216406106402348,True,False
insufficient_1990m,50.0,6,1.4583847522735596,6.835621288686423e-05,0.09663546732191257,True,False
insufficient_1990m,50.0,7,1.4506748914718628,0.00012542071685723202,0.1773077979818418,True,False
insufficient_1990m,50.0,8,1.44283926486969,0.0002661162050751762,0.3762096048523978,True,False
insufficient_1990m,50.0,9,1.4351578950881958,3.787249534395158e-05,0.05354050687780298,True,False
insufficient_1990m,50.0,10,1.4275851249694824,0.00020478937981741982,0.28951161255781,True,False
insufficient_1990m,50.0,11,1.4195870161056519,8.025556249652436e-05,0.11345762820229242,True,False
insufficient_1990m,50.0,12,1.4104909896850586,8.413583274272191e-06,0.011894318266384847,False,False
insufficient_1990m,50.0,13,1.4000681638717651,0.00015143783026871734,0.2140883012705081,True,False
insufficient_1990m,50.0,14,1.3885791301727295,9.14347496898086e-05,0.12926169242817584,True,False
insufficient_1990m,50.0,15,1.375969648361206,9.597167049781308e-05,0.13567555656675326,True,False
insufficient_1990m,50.0,16,1.3623950481414795,4.7674496945195814e-05,0.06739763800638246,True,False
insufficient_1990m,50.0,17,1.3477357625961304,1.651913666096581e-06,0.0023353173377656964,False,True
insufficient_1990m,50.0,18,1.3320367336273193,1.3071086791671635e-05,0.018478650691328726,False,True
insufficient_1990m,50.0,19,1.315035343170166,9.068938360640643e-07,0.001282079652429866,False,True
insufficient_1990m,50.0,20,1.2967256307601929,2.8231088484958603e-07,0.00039910409215699737,False,False
insufficient_1990m,50.0,21,1.277047872543335,2.053665793721152e-08,2.9032760200998026e-05,False,False
insufficient_1990m,50.0,22,1.2560290098190308,8.164571178513131e-10,1.1542288813227271e-06,False,False
insufficient_1990m,50.0,23,1.2335797548294067,1.4120671775862379e-09,1.9962453423484266e-06,False,False
